Role,Username,First Name (opt),Last Name (opt),Email,Password,Phone (opt),"Tags (opt, 5 max)",City,Description,Price (opt)
User,kevin_mark,Kevin,Mark,123kevin@gmail.com,Kevin123,,,,,
User,sarah_main,Sarah,Smith,Smithsarah@gmail.com,12345678,,,,,
User,davidj99,David,James,54davidjames@yahoo.com,D@vid123,,,,,
User,priyankase,Priyanka,Seetaram,priyanka.seetaram@gmail.com,Pebble@1,,,,,
User,vivekl45,Vivek,Lall,vivek145@gmail.com,Silver*904,,,,,
User,leom,Leo,Mark,leomark1@gmail.com,568gahb#,,,,,
User,_jamesm,James,Carl,jamesm@gmail.com,k45#cc*y,,,,,
User,Saraj,Sara ,Gaelle,sarak@hotmail.com,flower45*j,,,,,
Coach,cedriclamarque1,Cedric,Lamarque,cedriclamarque@gmail.com,Orange%731,5502 4565,Boxing,Curepipe,"We train basics, fitness, and simple techniques",600
Coach,manojsingh_5,Manoj,Singh,98manoj@yahoo.com,FoRest&265,5888 1111,Water Sports,Rose Hill,I go step by step so you don’t feel scared or rushed,700
Coach,dev_m,Dev,Mangur,devmangur2020@gmail.com,Galaxy!8434,5999 8888,Football,Vacoas,"I help players improve their stamina, ball control, and confidence on the field.",400
Coach,natasha_d,Natasha,Dupond,Natasha.Business12@gmail.com,@nchor#519,5887 4447,Strength Training,Port Louis,Personalized strength and conditioning sessions tailored to your fitness goals.,500
Coach,priyargm54,Priya,Ramgoolam,ramgoolampriya@yahoo.com,Velvet@376,5454 6060,Yoga,Beau Bassin,"Gentle yoga sessions that improve flexibility, balance, and relaxation.",550
Coach  ,RukSjao,Rukshar,Seb,ruksseb@gmail.com,Maple@417,5884 6050,Basketball,Port Louis,"I help players improve their shooting, passing, and overall game confidence.",600
Coach  ,Ryantac,Ryan,Tattoo,ryantattoo20@hotmail.com,Orbit!#2456,5897 0000,Badminton,Chemin Grenier,"Build agility, precision, and confidence with personalized badminton coaching.",700
Coach,karim_a,Karim,Ahmed,karim.ahmed@gmail.com,Echo&9183,5705 6666,Tennis,Grand Baie,"Learn proper techniques, footwork, and match strategies at your own pace.",600
Coach,adrian_l,Adrian,Louis,Adrian.louis@gmail.com,Falcon%$97,5932 6677,Swimming,Tamarin,"I help swimmers of all levels improve their technique, endurance, and confidence in the water.",700
Coach,Jason,Jason,Perry,jason.perr@gmail.com,Fasfa@456p,5999 4756,Zumba,Quatre Bornes,"Join fun and energetic Zumba classes that combine dance and fitness to help you stay active, burn calories, and enjoy every workout.",500
Coach,josh_ragoo,Josh,Ragoo,josh.ragoo@gmail.com,Cedar#428,5928 1436,Surfing,Tamarin,"Learn to ride the waves with fun, beginner-friendly surf lessons tailored to your pace.",800
Coach,lea_ramdany,Léa,Ramdany,lea.ramdany@gmail.com,Wave#315,5758 2441,Golf,Bel Ombre,"Improve your swing, short game, and confidence with personalized golf coaching.",500
Coach,jeremy_hoolash,Jeremy,Hoolash,jeremy.hoolash@yahoo.com,Green!729,5412 0000,Kayaking,Grand Gaube,Explore Mauritius' lagoons while improving your paddling technique and endurance.,650
Coach,christopher_mohun,Christopher,Mohun,christopher.mohun@hotmail.com,Try&5417,5900 1234,Rugby,Flacq,"Develop strength, teamwork, and game awareness through structured rugby training sessions.",400
Coach,jylan123,Dylan,Benydin,dylan.benydin@gmail.com,xvbnc254,5994 4321,Snorkeling,Blue Bay,Discover Mauritius' vibrant marine life with safe and guided snorkeling adventures for all skill levels.,900
Coach,priya_luchmun,Priya,Luchmun,priya.luchmun@gmail.com,manno#nh,5444 5574,Kids Coaching,Quatre Bornes,"Fun and safe coaching sessions designed to help children build confidence, skills, and healthy habits.",500
Coach,nishan_allee,Nishan,Allee,nishan.allee@yahoo.com,Cloud@638,5878 9999,Taekwondo,Quatre Bornes,"Learn discipline, self-defense, and martial arts techniques through structured Taekwondo training.",550
Coach,clara_virahsawmy,Clara,Virahsawmy,clara.virahsawmy@gmail.com,Ocean#759,5899 0000,Hiking,Black River,Explore nature trails while improving endurance and enjoying outdoor adventures.,600
Coach,arvin_naiken,Arvin,Naiken,arvin.naiken@hotmail.com,River&593,5288 9600,Horse Riding,Vacoas,Learn horse riding techniques while building confidence and connection with horses.,700
Coach,melissa_dookun,Melissa,Dookun,melissa.dookun@live.com,Mango#482,5250 5050,Scuba Diving,Trou aux Biches,Discover the underwater world with beginner-friendly scuba diving lessons and guidance.,500
Admin,admin01,Arveen,Loopesh,admin@mocoach.com,@rv33nJ0bs,5570 5555,,,,
